id,service,category,category_en,question,question_en,answer,answer_en,is_popular,tags
FAQ-0002,寮内ネット,SIMサービス,SIM Service,自分の住んでいる学生寮で『寮内ネット』は利用できますか？,自分の住んでいる学生寮で『寮内ネット』は利用できますか？,"Sun-Netサービスが学生寮全体で導入されている場合ご利用いただけます。ご自身の学生寮のご利用可否についてはお手数ですが下記までお問合せください。
フリーダイヤル：0120-336-326
メールアドレス：sales@sunrise-net.co.jp","Sun-Netサービスが学生寮全体で導入されている場合ご利用いただけます。ご自身の学生寮のご利用可否についてはお手数ですが下記までお問合せください。
フリーダイヤル：0120-336-326
メールアドレス：sales@sunrise-net.co.jp",False,"お申込,SIMサービス"
FAQ-0003,,SIMサービス,SIM Service,1年間は寮にいる予定がありますが2年目に寮に住むか未定です。2年目はまた再契約になりますか？手続きはどのようにすればよいのでしょうか？,1年間は寮にいる予定がありますが2年目に寮に住むか未定です。2年目はまた再契約になりますか？手続きはどのようにすればよいのでしょうか？,契約期間に空白がなければ2年目以降は継続でのご案内となります。継続の際の手数料は発生致しません。契約期間に空白がある場合は再入会扱いとなります。,契約期間に空白がなければ2年目以降は継続でのご案内となります。継続の際の手数料は発生致しません。契約期間に空白がある場合は再入会扱いとなります。,False,"クレジットカード払い,SIMサービス"
FAQ-0004,,SIMサービス,SIM Service,部屋でネットが必要かまだわからないので、夏までの契約にしたいのですが可能ですか？,部屋でネットが必要かまだわからないので、夏までの契約にしたいのですが可能ですか？,1ヶ月単位でのご契約が可能です。ご都合のよい契約期間をお選びください。,1ヶ月単位でのご契約が可能です。ご都合のよい契約期間をお選びください。,False,"クレジットカード払い,SIMサービス"
FAQ-0005,,SIMサービス,SIM Service,退寮等でサービスを辞めたい場合、どのような手続きが必要ですか？,退寮等でサービスを辞めたい場合、どのような手続きが必要ですか？,"お引越し先では引き続き『Sun-Net光』のご利用（プラン変更）が可能です。※一部建物を除く
以下ページをご確認ください。
http://www.sunrise-net.ne.jp/sunnethikari.html
プラン変更をされない場合は解約はご解約月の前月末日までに弊社ホームページよりお手続きが必要です。お電話やメールによる解約受付は行っておりません。解約金として月額料金相当の解約金が発生いたしますのでご了承ください。","お引越し先では引き続き『Sun-Net光』のご利用（プラン変更）が可能です。※一部建物を除く
以下ページをご確認ください。
http://www.sunrise-net.ne.jp/sunnethikari.html
プラン変更をされない場合は解約はご解約月の前月末日までに弊社ホームページよりお手続きが必要です。お電話やメールによる解約受付は行っておりません。解約金として月額料金相当の解約金が発生いたしますのでご了承ください。",False,"変更手続き,SIMサービス"
FAQ-0006,,SIMサービス,SIM Service,ルーター購入プランで契約しておいて、途中からレンタルプランに変更することはできますか？,ルーター購入プランで契約しておいて、途中からレンタルプランに変更することはできますか？,はい、可能です。但し購入プランの方がレンタルプランに比べて月額料金の設定を低くしておりますので今後のご利用予定期間と比較しご検討ください。ご希望の際はプラン変更フォームよりお手続きをおねがいします。※別途無線ルーターの送料が発生いたします。,はい、可能です。但し購入プランの方がレンタルプランに比べて月額料金の設定を低くしておりますので今後のご利用予定期間と比較しご検討ください。ご希望の際はプラン変更フォームよりお手続きをおねがいします。※別途無線ルーターの送料が発生いたします。,False,"変更手続き,SIMサービス"
FAQ-0007,,SIMサービス,SIM Service,自分で購入した無線ルーターを利用することはできますか？,自分で購入した無線ルーターを利用することはできますか？,無線ルータのご使用に関してシステム運営上、一律弊社ルータに限らせて頂いており、無線ルーターを含むお持ち込み機器の利用はご遠慮頂いております。,無線ルータのご使用に関してシステム運営上、一律弊社ルータに限らせて頂いており、無線ルーターを含むお持ち込み機器の利用はご遠慮頂いております。,False,"無線ルーター,SIMサービス"
FAQ-0008,,SIM設定,SIM Settings,WiFiプラス/レンタルプランと購入プランの違いを教えてください。,WiFiプラス/レンタルプランと購入プランの違いを教えてください。,購入プランの方がレンタルプランに比べて月額利用料金を低く設定しています。継続して2年以上ご利用の予定がある場合は購入プランがおすすめです。尚、一部プランを除きいずれのプランにおいてもインターネット品質に大きな違いはありません。,購入プランの方がレンタルプランに比べて月額利用料金を低く設定しています。継続して2年以上ご利用の予定がある場合は購入プランがおすすめです。尚、一部プランを除きいずれのプランにおいてもインターネット品質に大きな違いはありません。,False,"無線ルーター,利用プラン,SIM設定"
FAQ-0009,,SIM設定,SIM Settings,MACアドレスはどのようなものですか？,MACアドレスはどのようなものですか？,"ネットワーク機器等に付いている固有の識別番号です。有線LANのほかに、無線LANやスマートフォン、プリンターなどにもMACアドレスが割り当てられています。
MACアドレスは12桁の16進数で「00-00-00-XX-XX-XX」と表される。前半6桁がメーカー固有のアドレスで、後半6桁が製品個々のアドレスとなります。物理アドレスやWiFiアドレス等と表示される場合があります。","ネットワーク機器等に付いている固有の識別番号です。有線LANのほかに、無線LANやスマートフォン、プリンターなどにもMACアドレスが割り当てられています。
MACアドレスは12桁の16進数で「00-00-00-XX-XX-XX」と表される。前半6桁がメーカー固有のアドレスで、後半6桁が製品個々のアドレスとなります。物理アドレスやWiFiアドレス等と表示される場合があります。",False,"MACアドレス,SIM設定"
FAQ-0010,,料金支払,Payment,有線LAN（有線接続）の意味を教えてください。,有線LAN（有線接続）の意味を教えてください。,LANケーブルを用いた接続方式です。一般的に無線接続に比べて通信や電波状況が安定しています。ご利用いただくにはLAN端子対応の機器及びMACアドレスの登録が必要です。未対応機器の場合有線LANアダプター（MACアドレスの登録が必要）を利用することにより接続が可能です。,LANケーブルを用いた接続方式です。一般的に無線接続に比べて通信や電波状況が安定しています。ご利用いただくにはLAN端子対応の機器及びMACアドレスの登録が必要です。未対応機器の場合有線LANアダプター（MACアドレスの登録が必要）を利用することにより接続が可能です。,False,"サービス内容,料金支払"
FAQ-0011,,料金支払,Payment,自身で購入した無線ルーターを利用することはできますか？,自身で購入した無線ルーターを利用することはできますか？,弊社システムの仕様上ご利用いただくことはできません。弊社から送られる指定の無線ルーターをご利用ください。,弊社システムの仕様上ご利用いただくことはできません。弊社から送られる指定の無線ルーターをご利用ください。,False,"無線ルーター,サービス内容,料金支払"
